Loss,Checkpoint,Validation Loss,Dice,IoU
Dice,unet_epoch1.pth,0.31525899722025946,0.6907479134889749,0.5386356977316049
Dice,unet_epoch2.pth,0.23644648515261135,0.7655573927439177,0.6294719599760495
Dice,unet_epoch3.pth,0.22367306856008676,0.777635119511531,0.6434038249345926
BCE,unet_bce_epoch1.pth,0.31826977477623863,0.6668175688156714,0.5149876259840451
BCE,unet_bce_epoch2.pth,0.2508196314940086,0.7191668813045208,0.5758196282845277
BCE,unet_bce_epoch3.pth,0.2502832321020273,0.7182197616650507,0.5759237614961771
